"Date","AirTempMean"
2020-05-19,15.5164754098361
2020-05-20,13.9614236111111
2020-05-21,15.9896180555556
2020-05-22,16.0130208333333
2020-05-23,17.9609027777778
2020-05-24,22.4994791666667
2020-05-25,24.1995486111111
2020-05-26,24.7382638888889
2020-05-27,22.9346180555556
2020-05-28,21.0626388888889
2020-05-29,19.0451388888889
2020-05-30,15.0435416666667
2020-05-31,12.1574652777778
2020-06-01,13.5162847222222
2020-06-02,20.2483680555556
2020-06-03,24.3863888888889
2020-06-04,20.3638541666667
2020-06-05,20.4535416666667
2020-06-06,22.3291666666667
2020-06-07,18.1869791666667
2020-06-08,18.8502430555556
2020-06-09,23.5290972222222
2020-06-10,25.1272569444444
2020-06-11,19.6339236111111
2020-06-12,18.4972569444444
2020-06-13,14.3532638888889
2020-06-14,15.6089236111111
2020-06-15,18.2345138888889
2020-06-16,19.5402777777778
2020-06-17,19.1739930555556
2020-06-18,20.0472916666667
2020-06-19,20.0764236111111
2020-06-20,21.9985069444444
2020-06-21,23.9791666666667
2020-06-22,21.0362152777778
2020-06-23,20.5422569444444
2020-06-24,18.6998263888889
2020-06-25,18.0641666666667
2020-06-26,21.2336458333333
2020-06-27,21.6169444444444
2020-06-28,22.4041666666667
2020-06-29,22.0497916666667
2020-06-30,23.2551388888889
2020-07-01,22.6931944444444
2020-07-02,23.5758333333333
2020-07-03,24.3351388888889
2020-07-04,25.0807638888889
2020-07-05,24.1884375
2020-07-06,25.4382291666667
2020-07-07,23.5345138888889
2020-07-08,24.5603125
2020-07-09,26.3464930555556
2020-07-10,24.1836805555556
2020-07-11,21.9368402777778
2020-07-12,21.0138541666667
2020-07-13,20.988125
2020-07-14,20.7212847222222
2020-07-15,22.8823611111111
2020-07-16,24.6836111111111
2020-07-17,24.6532986111111
2020-07-18,24.8663194444444
2020-07-19,26.4948263888889
2020-07-20,24.6229166666667
2020-07-21,23.2820486111111
2020-07-22,22.9922222222222
2020-07-23,22.5663194444444
2020-07-24,23.3937847222222
2020-07-25,22.7764930555556
2020-07-26,24.0238194444444
2020-07-27,24.3941666666667
2020-07-28,23.3841666666667
2020-07-29,23.3901041666667
2020-07-30,22.4969444444444
2020-07-31,23.3024305555556
2020-08-01,21.7660763888889
2020-08-02,20.45
2020-08-03,20.2954861111111
2020-08-04,19.6160069444444
2020-08-05,18.7604166666667
2020-08-06,20.0594444444444
2020-08-07,21.0378472222222
2020-08-08,20.3028125
2020-08-09,22.3031597222222
2020-08-10,24.5983680555556
2020-08-11,24.3395138888889
2020-08-12,23.0887152777778
2020-08-13,24.6329861111111
2020-08-14,25.4042361111111
2020-08-15,20.5798958333333
2020-08-16,19.8070833333333
2020-08-17,19.696875
2020-08-18,19.4629861111111
2020-08-19,17.6765972222222
2020-08-20,19.1589583333333
2020-08-21,21.6522916666667
2020-08-22,23.6766666666667
2020-08-23,23.4334375
2020-08-24,23.9894791666667
2020-08-25,23.6388888888889
2020-08-26,20.9811805555556
2020-08-27,24.0038888888889
2020-08-28,22.2984375
2020-08-29,21.5578125
2020-08-30,17.9889236111111
2020-08-31,18.3557986111111
2020-09-01,23.105
2020-09-02,22.6227777777778
2020-09-03,20.9309722222222
2020-09-04,19.5159375
2020-09-05,17.8630902777778
2020-09-06,19.2787152777778
2020-09-07,19.1682638888889
2020-09-08,22.2176736111111
2020-09-09,22.9370833333333
2020-09-10,21.9003125
2020-09-11,17.9392361111111
2020-09-12,20.1148611111111
2020-09-13,20.9603125
2020-09-14,16.2125347222222
2020-09-15,12.6147569444444
2020-09-16,15.6987152777778
2020-09-17,15.9852083333333
2020-09-18,13.1619444444444
2020-09-19,9.85170138888889
2020-09-20,11.4730902777778
2020-09-21,11.8187152777778
2020-09-22,12.3406944444444
2020-09-23,16.2934027777778
2020-09-24,17.5910416666667
2020-09-25,18.0713194444444
2020-09-26,18.5345486111111
2020-09-27,19.1975694444444
2020-09-28,19.015625
2020-09-29,12.4260416666667
2020-09-30,12.3601736111111
2020-10-01,10.7935763888889
2020-10-02,8.95208333333333
2020-10-03,8.98072916666667
2020-10-04,11.9430555555556
2020-10-05,9.68756944444444
2020-10-06,11.1677430555556
2020-10-07,16.0128125
2020-10-08,11.6900694444444
2020-10-09,14.6869791666667
2020-10-10,17.9728125
2020-10-11,17.5168055555556
2020-10-12,17.784375
2020-10-13,12.8873263888889
2020-10-14,12.6610069444444
2020-10-15,13.5633680555556
2020-10-16,7.89444444444444
2020-10-17,6.79440972222222
2020-10-18,10.3985416666667
2020-10-19,11.8902083333333
2020-10-20,12.2053125
2020-10-21,16.8335416666667
2020-10-22,18.9553819444444
2020-10-23,19.1531944444444
2020-10-24,8.40916666666667
2020-10-25,5.95878472222222
2020-10-26,8.37638888888889
2020-10-27,7.70302083333333
2020-10-28,8.94013888888889
2020-10-29,8.03704861111111
2020-10-30,5.32597222222222
2020-10-31,3.47770833333333
2020-11-01,5.98822916666667
2020-11-02,2.08975694444444
2020-11-03,7.04798611111111
2020-11-04,12.1205902777778
2020-11-05,14.0546527777778
2020-11-06,13.3463888888889
2020-11-07,14.1088541666667
2020-11-08,16.2752777777778
2020-11-09,16.5679861111111
2020-11-10,18.3342013888889
2020-11-11,14.6419444444444
2020-11-12,6.15972222222222
2020-11-13,5.96385416666667
2020-11-14,2.87756944444444
2020-11-15,10.0508536585366
