"Date","RHSum"
2020-05-19,7598.4
2020-05-20,12987.9
2020-05-21,17902
2020-05-22,25678
2020-05-23,23068.8
2020-05-24,20809.5
2020-05-25,21599.8
2020-05-26,18028.6
2020-05-27,18996.2
2020-05-28,24313
2020-05-29,25878.6
2020-05-30,22774.8
2020-05-31,19621
2020-06-01,17169.8
2020-06-02,17630.4
2020-06-03,16921.3
2020-06-04,24769.5
2020-06-05,26976
2020-06-06,21114.3
2020-06-07,18247.8
2020-06-08,17382.7
2020-06-09,19064.8
2020-06-10,22913.5
2020-06-11,21353.8
2020-06-12,18723.8
2020-06-13,21326.9
2020-06-14,18190.8
2020-06-15,21429.4
2020-06-16,18890
2020-06-17,20064.2
2020-06-18,23173.8
2020-06-19,24446.6
2020-06-20,22014.1
2020-06-21,21349
2020-06-22,26769.7
2020-06-23,26331.2
2020-06-24,22029.7
2020-06-25,24069.5
2020-06-26,23032
2020-06-27,26400.2
2020-06-28,25118.6
2020-06-29,21850.4
2020-06-30,20075.9
2020-07-01,20013.4
2020-07-02,19560.2
2020-07-03,19372.6
2020-07-04,20019
2020-07-05,19090.4
2020-07-06,19069.4
2020-07-07,22868.1
2020-07-08,23248.8
2020-07-09,21730.7
2020-07-10,24212.2
2020-07-11,24493.7
2020-07-12,23913.7
2020-07-13,22579.6
2020-07-14,20521.4
2020-07-15,19787
2020-07-16,22708.8
2020-07-17,21807.3
2020-07-18,20442.9
2020-07-19,21798.9
2020-07-20,21072.2
2020-07-21,23975.4
2020-07-22,25635.3
2020-07-23,26908.9
2020-07-24,23022.9
2020-07-25,21539.2
2020-07-26,21516.8
2020-07-27,23842.1
2020-07-28,22284.4
2020-07-29,20920.4
2020-07-30,24852.5
2020-07-31,20056.2
2020-08-01,25503.3
2020-08-02,27229.3
2020-08-03,25989.3
2020-08-04,27326.7
2020-08-05,23044.5
2020-08-06,21235.3
2020-08-07,20798
2020-08-08,21414.1
2020-08-09,21632.9
2020-08-10,21236.3
2020-08-11,22000.2
2020-08-12,22723.3
2020-08-13,19848.1
2020-08-14,19677
2020-08-15,23813.2
2020-08-16,24393.7
2020-08-17,24287.4
2020-08-18,22497
2020-08-19,19565
2020-08-20,18058
2020-08-21,19081.4
2020-08-22,21244.4
2020-08-23,22756.2
2020-08-24,22652.8
2020-08-25,22546.5
2020-08-26,24379.9
2020-08-27,24801
2020-08-28,27912.2
2020-08-29,25374.9
2020-08-30,22856
2020-08-31,24981.5
2020-09-01,24938.5
2020-09-02,27062.6
2020-09-03,27141.4
2020-09-04,21082.2
2020-09-05,20368.7
2020-09-06,20780.2
2020-09-07,24572.8
2020-09-08,24173.2
2020-09-09,23757.1
2020-09-10,25316.8
2020-09-11,25874.7
2020-09-12,25305.1
2020-09-13,26280.9
2020-09-14,23616.8
2020-09-15,22127.6
2020-09-16,24037.9
2020-09-17,26083.7
2020-09-18,21886.6
2020-09-19,18900.2
2020-09-20,18358.9
2020-09-21,18397.1
2020-09-22,20460.5
2020-09-23,21308.1
2020-09-24,23671.8
2020-09-25,23241.1
2020-09-26,23611.3
2020-09-27,24062.1
2020-09-28,24353.7
2020-09-29,27030.8
2020-09-30,25031.2
2020-10-01,23369.7
2020-10-02,23313.8
2020-10-03,22841.4
2020-10-04,22435.7
2020-10-05,24907.9
2020-10-06,22179.9
2020-10-07,18304.7
2020-10-08,21371.6
2020-10-09,18730.4
2020-10-10,24441.3
2020-10-11,27914.5
2020-10-12,25056.7
2020-10-13,21659.1
2020-10-14,19638.6
2020-10-15,21109.4
2020-10-16,21333
2020-10-17,17760.4
2020-10-18,18440.7
2020-10-19,26256.8
2020-10-20,28637.4
2020-10-21,27438.9
2020-10-22,23226.7
2020-10-23,22148.5
2020-10-24,24967.8
2020-10-25,23951.1
2020-10-26,27895.3
2020-10-27,27793.2
2020-10-28,28042.8
2020-10-29,28688.1
2020-10-30,25838.3
2020-10-31,22689.8
2020-11-01,20815.4
2020-11-02,17686.7
2020-11-03,14360.5
2020-11-04,14699.6
2020-11-05,14879.7
2020-11-06,17581.6
2020-11-07,16692.9
2020-11-08,15087.4
2020-11-09,17855.8
2020-11-10,19307.5
2020-11-11,25146.4
2020-11-12,21558.5
2020-11-13,20758.6
2020-11-14,20610.9
2020-11-15,10870.3
