"Date","RainfallMean"
2020-05-19,0
2020-05-20,0.00104166666666667
2020-05-21,0.00104166666666667
2020-05-22,0.0211805555555556
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0.0767361111111111
2020-05-29,0.0420138888888889
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0.00208333333333333
2020-06-03,0
2020-06-04,0.0548611111111111
2020-06-05,0.0607638888888889
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0.028125
2020-06-11,0.00104166666666667
2020-06-12,0
2020-06-13,0.0298611111111111
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0.0138888888888889
2020-06-19,0.00208333333333333
2020-06-20,0
2020-06-21,0
2020-06-22,0.0211805555555556
2020-06-23,0.0159722222222222
2020-06-24,0
2020-06-25,0.0118055555555556
2020-06-26,0.00208333333333333
2020-06-27,0.0145833333333333
2020-06-28,0.00555555555555556
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0.0555555555555556
2020-07-08,0
2020-07-09,0
2020-07-10,0.0850694444444444
2020-07-11,0.00104166666666667
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0.00104166666666667
2020-07-17,0.00104166666666667
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0.0184027777777778
2020-07-22,0.0350694444444444
2020-07-23,0.0395833333333333
2020-07-24,0.00104166666666667
2020-07-25,0
2020-07-26,0
2020-07-27,0.0177083333333333
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,0.0635416666666667
2020-08-02,0.0159722222222222
2020-08-03,0.00833333333333333
2020-08-04,0.0826388888888889
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0.0197916666666667
2020-08-18,0.00104166666666667
2020-08-19,0
2020-08-20,0
2020-08-21,0.00104166666666667
2020-08-22,0
2020-08-23,0.00520833333333333
2020-08-24,0
2020-08-25,0.00902777777777778
2020-08-26,0.00208333333333333
2020-08-27,0.111458333333333
2020-08-28,0.104861111111111
2020-08-29,0.00104166666666667
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0.0177083333333333
2020-09-03,0.00520833333333333
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0.0944444444444444
2020-09-08,0.00104166666666667
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0.00972222222222222
2020-09-14,0.00104166666666667
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0.0517361111111111
2020-09-29,0.0555555555555556
2020-09-30,0.00208333333333333
2020-10-01,0.00486111111111111
2020-10-02,0
2020-10-03,0
2020-10-04,0.0236111111111111
2020-10-05,0.00416666666666667
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0.00104166666666667
2020-10-12,0
2020-10-13,0.0357638888888889
2020-10-14,0
2020-10-15,0.009375
2020-10-16,0
2020-10-17,0
2020-10-18,0.00104166666666667
2020-10-19,0.0440972222222222
2020-10-20,0.0430555555555556
2020-10-21,0.00208333333333333
2020-10-22,0
2020-10-23,0.0302083333333333
2020-10-24,0.009375
2020-10-25,0.0128472222222222
2020-10-26,0.003125
2020-10-27,0.00416666666666667
2020-10-28,0.0114583333333333
2020-10-29,0.0913194444444444
2020-10-30,0.025
2020-10-31,0
2020-11-01,0.003125
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0.046875
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0.0432926829268293
